.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,trait,site
value,Crushed glass,Soil,20,20,0.1008264032281316,0.919688266896137,1,ns,mass,CP
value,100% Sargassum (SG),25% SG,20,20,4.793327328652744,1.6403765075214907e-6,1.6403765075214908e-5,****,mass,PR
value,100% Sargassum (SG),75% SG,20,20,3.373586829375836,7.419564204682517e-4,0.007419564204682517,**,mass,PR
value,100% Sargassum (SG),Crushed glass,20,20,3.7387408157541575,1.8494427948544023e-4,0.0018494427948544023,**,mass,PR
value,100% Sargassum (SG),Soil,20,20,4.281021735823456,1.860371841389256e-5,1.8603718413892558e-4,***,mass,PR
value,25% SG,75% SG,20,20,-1.4197404992769074,0.15568324296733557,1,ns,mass,PR
value,25% SG,Crushed glass,20,20,-1.0545865128985858,0.29161447478533514,1,ns,mass,PR
value,25% SG,Soil,20,20,-0.5123055928292872,0.6084371516200051,1,ns,mass,PR
value,75% SG,Crushed glass,20,20,0.3651539863783217,0.7149964637249384,1,ns,mass,PR
value,75% SG,Soil,20,20,0.9074349064476203,0.364176857360492,1,ns,mass,PR
value,Crushed glass,Soil,20,20,0.5422809200692985,0.5876249975293997,1,ns,mass,PR
